ID,Sex,Nationality,Specialization,Title,Keywords,Date,Grade,Advisors,Pages,Words,Size,WordsPerPage
201813955,Masculino,Portugal,Engenharia de Software,GAIC: Um Sistema inteligente e flexível para simulação e apoio à participação de pequenos e médios consumidores na gestão ativa de cargas no âmbito de smart grids,Demand Response; Redes Neuronais Artificiais; Sistemas Multiagente; Smart Grids; Artificial Neural Networks; Multiagent Systems,2013-11-20T00:00:00Z,16,Zita Maria Almeida Do Vale,109,31548,3.392444,289.43119266055044
201813971,Masculino,Portugal,Engenharia de Software,Engineering Temporal and Spatial Aspects in OWL using Patterns,OWL; Patterns; Semantic Web; Ontologies; World WideWeb,2013-11-22T00:00:00Z,18,Antonio Jorge Santos Pereira,145,39409,1.136939,271.78620689655173
201814145,Masculino,Portugal,"Arquitecturas, Sistemas e Redes",Portal de Eventos,Redes Sociais; Eventos; Espaços; Laravel; PHP; Social Networks; Events; Places,2013-11-18T00:00:00Z,14,Antonio Manuel Cardoso Da Costa,148,25854,5.721513,174.6891891891892
201814234,Masculino,Cabo Verde,Sistemas Computacionais,TRADUTOR DA LÍNGUA GESTUAL PORTUGUESA - MODELO DE TRADUÇÃO BIDIRECCIONAL,LGP; LP; LG; Kinect; Data Glove; KDD; SVM,2013-11-01T00:00:00Z,14,Paula Maria De Sa Oliveira Escudeiro,101,25295,3.797542,250.44554455445544
201814242,Masculino,Portugal,"Arquitecturas, Sistemas e Redes",Tolerância a Falhas em Sistemas de Tempo-Real Distribuídos e Embebidos,Tolerância a falhas; Sistemas de tempo-real distribuídos; Formação de coligação; Réplicas ativas; Agentes móveis; Software baseado em componentes; Configuração dinâmica de QoS; Coordenação orientada à negociação,2013-10-24T00:00:00Z,15,Luis Miguel Pinho Nogueira,145,36841,2.553513,254.0758620689655
201814277,Masculino,Portugal,Engenharia de Software,Plataforma de Dados de Saúde - Portal Institucional,Plataforma de Dados da Saúde; ETL; Business Intelligence; Análise de dados; eHeatlh ; ational Platform; Business Intelligence; Data analysis,2013-11-20T00:00:00Z,16,Maria De Fatima Coutinho Rodrigues,119,24955,4.1233,209.7058823529412
201814366,Masculino,Portugal,Sistemas Computacionais,Módulo de Realidade Aumentada para uma aplicação LBS,Realidade aumentada; Pontos de interesse; Dispositivos móveis; Points of Interest; Augmented Reality; Mobile devices,2013-11-13T00:00:00Z,15,Paulo Manuel Baltarejo De Sousa,95,24129,2.456267,253.98947368421054
201814412,Masculino,Portugal,"Arquitecturas, Sistemas e Redes",PROPAGAÇÃO DE VÍRUS INFORMÁTICOS BASEADA EM MODELOS BIOLÓGICOS,"Vírus informáticos, Transmissão; Modelos biológicos; Computer vírus; Transmission; Biological models",2013-07-17T00:00:00Z,14,Carla Manuela Alves Pinto,69,12678,0.967266,183.7391304347826
201815788,Masculino,Portugal,Sistemas Computacionais,VISITAS IMERSIVAS EM CONTEXTO TURÍSTICO,Visita Virtual; Imersividade; Panotour; Turismo; Porto; Virtual tour; Emersion; Tourism,2014-11-12T00:00:00Z,15,Antonio Abel Vieira De Castro,187,34240,15.472733,183.10160427807486
201815796,Masculino,Canadá,"Arquitecturas, Sistemas e Redes",Aplicação de Internet of Things em casas inteligentes - Serviço Aplicacional,Internet of Things; CoAP; REST; Wireless Sensor Network,2014-11-20T00:00:00Z,14,Nuno Alexandre Magalhaes Pereira,77,13666,1.316064,177.4805194805195
